,acronym,title,id,objective,startDate,endDate,durationM,status,ecMaxContribution,totalCost,energy_in_obj,energy_in_title,matches_keywords_in_objective,count_keywords_mathes
4165,LEDGER,decentraLizEd Data Governance for nExt geneRation internet,825268,"LEDGER ensures data sovereignty and eliminates concentration of data in a few proprietary platforms by accelerating 34 bottom-up experiments on human-centric values (privacy-by-design, reliability, trustworthiness and openness as core values) and 6 verticals (Health, Finance, Media, Public Services and Energy plus a generic one 'Open Disruptive Innovation).LEDGER will overcome Non-technological (Admin burden, Searching costs, bias in grant distribution, lack of use cases, User awareness, Access to Finance, Lock-in, Entrepreneurial Discovery and Regulation gap) and Technological barriers (Lack of Standards, lack of playground environments and Access to knowledge).LEDGER´s architecture relies in Mission-oriented, Market pull, Entrepreneurial discovery, Smart funding and Open-Technology. LEDGER will build on EC projects related to data governance: DECODE, D-CENT and PIE NEWS. 400 teams will be activated to develop the best applications that will run through a Minimum Viable Product Builder including mentoring and access to the Distributed Ledger Technology from DEVUAN.org.Up to 200k euros for the best teams will get startups ready for Venture Capital, pre-Initial Coin Offering and/or crowdfunding.LEDGER partners complete the community building, discovery, tech transfer and sustainability cycle. FundingBox - European leader in Financial Support to Third Parties will attract startups from its 15.000 members platform. DYNE will bring researchers and developers from its 10.000 members. Blumorpho will engage Researchers (7.200), Entrepreneurs (7.400) and investors (800) to guarantee sustainability. Linking with other ecosystem this ads to 110.000 people incl. 60% of potential Human Centric Innovators. 80 evaluators and 40 State-of-the-Art experts will develop alternative models that preserve wealth created by data-driven platforms that is equally distributed.LEDGER will transform Europe into the world leading human centric and data sovereign Entrepreneurial Union.",2018-11-01,2022-01-31,39.0,SIGNED,6998231.25,6998231.25,['energy'],,"['building', 'smart', 'community']",3
4167,SmartEnCity,Towards Smart Zero CO2 Cities across Europe,691883,"SmartEnCity’s main Objective is to develop a highly adaptable and replicable systemic approach towards urban transformation into sustainable, smart and resource-efficient urban environments in Europe through the integrated planning and implementation of measures aimed at improving energy efficiency in main consuming sectors in cities, while increasing their supply of renewable energy, and demonstrate its benefits.The underlying concept of the proposal is the Smart Zero Carbon City concept, where city carbon footprint and energy demand are kept to a minimum through the use of demand control technologies that save energy and promote raised awareness; energy supply is entirely renewable and clean; and local energy resources are intelligently managed by aware citizens, as well as coordinated public and private stakeholders.This approach will be firstly defined in detail, laid out and implemented in the three Lighthouse demonstrators (Vitoria-Gasteiz in Spain, Tartu in Estonia and Sonderborg in Denmark). The three cities will develop a number of coordinated actions aimed at:• Significant demand reduction of the existing residential building stock through cost-effective low energy retrofitting actions at district scale.• Increase in RES share of energy supply, through extensive leveraging of local potentials.• Enhance the use of clean energy in urban mobility, both for citizens and goods, by means of extensive deployment of green vehicles and infrastructure.An extensive use of ICTs is planned to achieve integration and consistency in demo planning and implementation, and to enable further benefits and secure involvement of citizens.These actions will be aligned to city-specific Integrated Urban Plans (IUPs), and the process will be replicated in two Follower cities: Lecce, (Italy), and Asenovgrad (Bulgaria) to ensure adaptability and maximize the project impact.Additionally, a Smart Cities Network will be setup to support project replication at European scale.",2016-02-01,2022-07-31,78.0,SIGNED,27890138.75,31479334.28,['energy'],,"['energy demand', 'urban', 'cities', 'district', 'building', 'smart', 'city']",7
4183,VW,Glare control with media functionality - VideowindoW,876524,"In urban environments, glass offers transparency to buildings and public spaces. It is however always accompanied by glare control solutions to manage the amount of light and heat entering the building. VideowindoW has developed a revolutionary alternative to conventional blinds or awning, which eliminates the choice between daylight or transparency. Multiple transparent modules are integrated into the glass façade, each module consisting of tiny LCD-segments (‘pixels’). The transparency of these pixels is independently controlled at very high speed. This enables the transformation of the glass façade into a transparent media platform. The content shown in the glass façade simultaneously serves as glare control. By using light sensors in combination with a proprietary algorithm the density of the content is calculated to yield the required degree of transparency. VideowindoW reduces energy consumption up to 30% (of which 20% climate control and 10% interior lighting). These savings help customers achieve sustainability goals. Customers now even have the opportunity to turn glass into a source of revenue, as it is transformed into potential advertising space by VideowindoW.The proposed SME-Instrument project is aimed at the European scale-up of the VideowindoW technology towards high-traffic locations, such as public transport hubs). VideowindoW offers a revolutionary glare control technology with added media functionality and lower energy use, that can be applied to many other market segments as well. Each of these might require a different market approach and tailormade business model.Specific objectives in this Ph1-study are to explore promising business cases for VideowindoW in public transport hubs, identify other promising market segments, define potential business models to help determine value-based pricing, research how VideowindoW can be optimally integrated in new and existing buildings, and elaborate on a detailed business plan for European scale (D1).",2019-08-01,2020-01-31,6.0,SIGNED,50000.0,71429.0,['energy'],,"['urban', 'building', 'energy consumption', 'climate', 'buildings']",5
4190,PANEL 2050,Partnership for New Energy Leadership 2050,696173,"The aim of PANEL 2050 project is to create durable and replicable sustainable energy networks at local (municipality/community) level, where relevant local stakeholders collaborate for the creation of a local energy visions, strategies and action plans for the transition towards low carbon communities in 2050. The PANEL 2050 project will focus on the creation of these sustainable local energy networks in CEE countries, where this type of networks at local level is almost completely absent and therefore additional support is needed for the creation of the first successful local energy networks that have the potential to set an example and a new standard for local energy road mapping in other local communities in the CEE region. Furthermore, the PANEL 2050 project will not choose a specific focus on a certain type of stakeholder, but will try to work at the local level and assemble all relevant and available stakeholders related to sustainable energy. The number and type of stakeholders will vary very much in different local settings and the ambition of this project is to create sustainable energy networks at local level that will connect and involve all relevant stakeholders that are present at local level into the local policy development and implementation. At present, the involvement of local shareholders in local policy development in any field in CEE countries is very limited and the aim of this project is to create durable sustainable energy networks in a number of local communities in different CEE countries that will also be a replicable example that can be spread to other communities in CEE countries. Introducing stakeholder concept to energy planning will help generate sustainable energy policies and create more sustainable future for Europe.",2016-03-01,2019-02-28,36.0,CLOSED,1790500.0,1790500.0,['energy'],['energy'],"['communities', 'community']",2
4195,INDUCE,Towards a sustainable agro-food INDUstry: Capacity building programmes in Energy efficiency,785047,"The INDUCE project will develop an open access platform (INDUCE toolkit) where training material, online lessons, guidelines and tools will be available for companies aiming to increase their energy efficiency. Besides, the INDUCE methodology will be integrated in the platform with the objective of designing to design a specific capacity building programme for every company accessing the INDUCE toolkit, which will resulting in ad-hoc training adapted to the company’s needs and opportunities.The INDUCE methodology will link knowledge transfer on energy efficiency with behavioural and organizational change models, so an energy culture and an environment conducive for change are established in the company, while employees are motivated to act in a more sustainable manner. Unique about this methodology is that it will follow a Human-Centered Design approach, in which every phase will be conducted in close cooperation with the end users of the capacity building programme. This will enable INDUCE to interact and test together with the companies the best interventions, measures, etc. to be implemented.The INDUCE methodology and the toolkit will be both tested and validated in 15 pilot companies from the food and beverage sector in four countries that represent over 45% of the EU companies in this sector: Spain, France, the Netherlands and Germany. In a second replication step, an INDUCE community of trainers will be established by certifying 60 INDUCE trainers. They will be in charge of implementing the INDUCE methodology in another 300 companies, hence increasing INDUCE's impact up to 106 GWh/year of energy savings. The INDUCE Consortium includes three well-know research centres with expertise in energy efficiency, behavioural science and decision-making processes. In addition, a partner in charge of training at national level and an association as multiplier organization has been involved in every pilot country. Finally, this competitive consortium is completed by a research oriented SME focussed on exploitation and dissemination.",2018-02-01,2020-07-31,30.0,SIGNED,1998223.75,1998223.75,['energy'],['energy'],"['building', 'community']",2
4219,EU-LIVE,Efficient Urban LIght VEhicles,653203,"""EU-LIVE will provide a comprehensive European solution for the next generation of electrified, cost- and energy-efficient light urban vehicles to cope with the challenges of future personal urban mobility, based on both user needs and acceptance.EU-LIVE will establish the """"EU-LIVE modular platform"""", a systematic approach for efficiently designing, developing and building a wide range of L-category vehicles from more close-to-the-market to radically new ones. This comprises a set of modular electrified powertrain components and subsystems for PHEVs and BEVs, modular bodies (within the same L-vehicle class), and an integrated modular co-simulation platform to guarantee re-usability, flexibility and sharing of components as well as subsystems for L-category vehicles.EU-LIVE will provide innovative solutions regarding cost-efficient, energy-efficient, low-emission and low-noise powertrains (in-wheel motors, novel highly efficient transmission for PHEV, 48V batteries + electric board net …) and future-proof, flexible and scalable vehicle architectures. To leverage expertise beyond the consortium, an open innovation contest for a radically new light vehicle based on the EU-LIVE modular platform will be carried out. Eventually, both real and virtual full-vehicle demonstrators (L5e PHEV 3-wheeler beyond EURO 5, L3e BEV 2-wheeler, L6 BEV 4-wheeler) will be shown.By its modular approach and the efficient transfer of expertise from high-volume automotive to low-to-medium-volume light vehicle industry, EU-LIVE will enable economies of scale, therefore overcoming a major barrier to affordable light urban vehicles. Through its excellent partner consortium - including 2 OEMs and several key suppliers - EU-LIVE is able to credibly provide a clear route to market for a range of different L-category vehicles which feature series producibility, attractive cost-of-ownership, full comfort, safety and connectivity, for both European and non-European markets.""",2015-06-01,2018-05-31,36.0,CLOSED,6713338.75,6713338.75,['energy'],,"['building', 'urban']",2
4241,CyberWiz,Cyber-Security Visualization and CAD-Tool for the Vulnerability Assessment of Critical Infrastructures,673980,"The ICT environments of critical infrastructures (such as energy distribution systems) are composed of a large number of systems connected to form a complex system of systems. Recent initiatives to upgrade power systems into smart grids target an even tighter integration with information technologies to enable the integration of renewable energy sources, local and bulk generation and demand response. To fully estimate the security of an enterprise’s system architecture, a large number of issues must be considered. Enterprise systems security managers must be able to assess how vulnerabilities in one system influence vulnerabilities in other systems. In addition, security managers must be able to assess how individual vulnerabilities influence the security of the entire system of systems, given the protection solutions that are used in different locations in the architecture. The project will deliver and validate a tool that helps to 1) better understand current cyber security levels across complex enterprise-wide architectures, including relationships and interdependencies between systems, 2) prioritize areas to address and cyber security investments to pursue and 3) proactively manage cyber security e.g. when building or modifying architectures. The solution is based on a cybersecurity metamodel that 1) describes the qualitative structure (which assets, attacks and defences that should be included, and how these should be associated and 2) populates this qualitative structure with quantitative data (how likely different attacks are to succeed given the system parameter values and the presence or absence of different defences, using Bayesian networks). The tool generates a vulnerability “heat map” for each system configuration, allowing a user-friendly and visual comparison of the different alternatives. The project will validate the tool in 2 pilots with energy utilities in Sweden and Germany. The project duration is 24 months and the requested EC funding €1.6M.",2015-09-01,2017-08-31,24.0,CLOSED,1595562.5,2279375.0,['energy'],,"['building', 'smart']",2
4312,SHE,The most profitable Solar collector on the market to supply Heat and Electricity,947496,"Buildings are responsible of 40 % energy consumption in Europe. In spite of EU policies to reach the goal of 32% renewable energy by 2030 and to promote the standards of nearly Zero Energy Buildings, solar energy is not massively installed as expected in building sector. Potential is huge: more than 75% of building stock is inefficient and need refurbishment actions. However, solar thermal heat (for sanitary water and space heating mainly) and solar photovoltaic electricity compete for space in rooftop. Abora Solar is a company specialized in designing, developing and manufacturing hybrid solar collectors, which simultaneously provide heat and electricity. Our goal is to bring to the market the most profitable solar collector: this is SHE. We are sales’ leader in Spain with nearly 2,000 hybrid solar panels installed. However, present technology’s limitations of hybrid solar panels do not allow to reach high temperatures as solar thermal collectors and costs are too high to fulfil the willingness to pay from most of the customers: 5 years payback. We have patented a breakthrough innovation that completely changes the structure and manufacturing process of hybrid solar panels, allowing us to simultaneously increase energy efficiency and reduce costs. With SHE collector we can provide 5 year payback and supply 5 times more energy than a photovoltaic panel. We face the market of solar heat in buildings and industries, valued in € 195 billion in 2025 with nearly 450 million solar collectors installed, which additionally always requires electricity for other uses. Abora Solar ask for EIC Accelerator Pilot grant to finalise the development of our solar panel and the manufacturing line to accelerate the market launch in 2021. Our goal is to achieve 50,000 panels manufactured in Europe and sold worldwide in 2025.",2020-03-01,2022-02-28,24.0,SIGNED,1960084.35,2800120.5,['energy'],,"['energy consumption', 'buildings', 'building']",3
4313,5GSOLAR,ERA CHAIR OF EMERGING NEXT-GENERATION PHOTOVOLTAICS,952509,"The future PV market will rely on a variety of innovative PV solutions and products in order to meet the market growth potential and address the grand environmental challenges faced by EU to achieve and sustain a green electricity market. Development of non-toxic, earth abundant, long-term stable PV materials, along with implementation of cost-effective, robust and industrially scalable, rapid, resource saving technologies for fabrication of low weight low-cost thin film PV devices with flexibility in design, such as BIPV, PV powered IoT – the basis for zero energy buildings, smart cities and smart villages. The 5GSOLAR aims to recruit a Knowledge Developer and Manager to bring complementary knowledge to the existing core team, and thereby enhance scientific excellence, to increase visibility and attractiveness, and to bridge the gap between research and technology transfer. This will positively contribute to achievement of Sustainable Development Goals, European targets for Clean Energy for all Europeans, the Smart Specialisation Strategy of Estonia, and to the contribution to the European Research Area.The short term aim is to create a functional ERA Chair team that is capable of implementing the strategies (EMPOWER, STAND OUT, STABLE) formed in the scope of the ERA Chair, and to progress toward the vision of ensuring a sustainable ERA Chair. The long-term goal of the ERA Chair 5GSOLAR is to build a stakeholders’ network, after the ERA Chair project to participate in establishing of a renewable energy demo/briefing centre in Estonia, and finally, to establish a EU joint graduate school on photovoltaics. Completion of these tasks will unleash European’s potential to become the climate neutrality pioneer. The main task of the ERA Chair is to converge R&D&I, stakeholders, policy makers, and society.",2020-09-01,2026-08-31,72.0,SIGNED,2500000.0,2500000.0,['energy'],,"['smart', 'climate', 'buildings', 'cities']",4
4320,MODER,Mobilization of innovative design tools for refurbishing of buildings at district level,680447,"MODER vision is cost-effective, energy-efficient and user-oriented refurbishment of buildings as part of the global energy system. The main objective of MODER is to increase business of engineering companies, energy managers and consultants in supporting municipalities and building owners in European and global markets for the refurbishment of buildings at district level.The project will develop, demonstrate and mobilize design tools, processes and business models for efficient refurbishment on building and district level. Design tools will enable evaluation of different retrofitting alternatives at different stages of projects, consideration of district level impacts and simultaneous consideration of cost and energy efficiency. Process development aims at sustainable retrofit design especially by developing models for procurement and models for design management.  Business models focus on  the generation and delivery of distributed energy to support new retrofit solutions which enable the use of local renewable energy sources.MODER consortium consists of 10 partners including 2 large engineering companies, 2 research and technology organisations and 6 SMEs of which one is a public energy manager. All partners are aiming at developing their engineering and / or consultation business towards refurbishment of buildings at district level. 4 partners aim at reinforcing their engineering or consultation business in areas outside Europe.",2015-09-01,2018-08-31,36.0,CLOSED,3280582.0,4078885.0,['energy'],,"['building', 'buildings', 'district']",3
4322,Solar Bank,Virtual Energy Trading IT System to couple photovoltaic production and electric vehicles charging.,815019,"""Solar Bank is a virtual energy trading IT platform that links the solar energy produced by photovoltaic energy plant and the electricity consumed in Electric Vehicles charging stations. Solar Bank is the basis for the issuing of Guarantees of Origin (GO), that are bought by Solar Bank from the producer and sold to the consumers. Algorithms are implemented on the platform to connect the production to the consumption in the most efficient way (proximity logic) and to dynamically assess the PV electricity and GO costs, perfectly matching the needs of both PV plant owners and EV charging station managers. Solar Bank is conceived at a """"city-scale"""" and its proximity logic allows a steep reduction of Transmission and Distribution inefficiency by 50%.The IT platform has been validated in the city of Uppsala (Sweden), where 14 production nodes and 248 charging nodes are connected to the platform, attesting its potentiality and the appreciation of the End-Users. Moreover, Solelia IT solution is covered by copyright protection as a computer programme, and the """"Solar Bank"""" brand is protected.Now, the technology owner Solelia intends to develop the final product implementing a block-chain functionality for GO trading and extending the solution validation in two medium sized European cities (> 300,000 inhabitants), in order to definitely enter in the European market.During the SME-Instrument Phase 1 project, Solelia will deliver a complete Business Plan, confirming the yearly subscription fee for end-users (photovoltaic plants and Electric Vehicles charging equipment owners) through a Customer Validation, extending the GO mechanisms analysis in all European countries, involving private investors, key stakeholders and potential customers, closing agreements with two European cities municipalities for the final product full validation.""",2018-06-01,2018-11-30,6.0,CLOSED,50000.0,71429.0,['energy'],['energy'],"['city', 'cities']",2
4329,EERASE3,EERA SEcretariat 3,739664,"The purpose of EERA is to strengthen and expand Europe’s capabilities in sustainable energy research by connecting and joining European energy research activities. EERA’s efforts take place in the context of and contribute to the targets formulated in the Strategic Energy Technology (SET) Plan. The core activity of EERA is the operation of the EERA Joint Programmes. EERA currently runs 17 Joint Programmes. The EERA Joint Programmes are strategic platforms for cooperation and joint programming between major research organisations on common research agendas. Active in diverse areas such as wind energy, smart grids, advanced materials and energy storage, the Joint Programmes represent today an important part of Europe’s energy research backbone. Through the Joint Programmes, EERA support Member States in their efforts to coordinate their long-term energy research activities. Serving as the research arm of the SET-Plan, the EERA Joint Programmes are developing into a sort of “Virtual European Institute on Energy Research”, working in open collaboration with innovation and industrial initiatives and stakeholders. In order to provide support to the different EERA bodies (Executive Committee, Joint Programmes) and ensure efficient operations, the EERA Secretariat was established in 2010. The main objective of the EERA Secretariat is to support EERA as key actor in the implementation of the integrated SET Plan by:•Accelerated EU delivering on the SET-Plan priorities •Ensure a more transparent and better functioning EERA•Strengthen EERA structuring effects on the energy research community",2016-09-01,2018-08-31,24.0,CLOSED,600000.0,1150308.75,['energy'],,"['smart', 'community']",2
4331,E2P2,Eco Edge Prime Power,101007219,"Further digitalisation of society over the next decade demands infrastructure that is closer to the consumer as the shift in consumption requires data services at the edge of the digital networks. The key to meeting this demand is to rollout digital infrastructure that penetrates urban areas in support of this digital future. The problems associated with powering urban data centres hinges on the challenges of electrical power distribution within cities. This project aims to address these problems by creating a proof of concept (POC) alternative prime power source that employs fuel cell technologies for on-site power generation, which are efficient, quiet, showing reduced environmental impact and negligible demand on the electrical grid. Fuel cells have been around since the Apollo space program and can operate on different fuels like natural gas, hydrogen and propane (LPG). Fuel cells are electrochemical energy converters with efficiencies that exceed conventional power plants, already at small scale. The concept of connecting fuel cells to gas networks to power resilient urban and edge data centres overcomes the need to have backup generation in such areas, thus reducing the emissions and noise impact.The main objectives of the proposed project are to:1.Define the fuel cell prime power concept for data centres.2.Create an authoritative open standard for fuel cell adaption to power data centres.3.Demonstrate and validate a POC fuel cell based prime power module for data centres.4.Collect extensive operational data from running fuel cells as prime power for data centres. 5.Analyse the combined social, environmental and commercial impact for the European market.6.Evaluate opportunities for improved energy efficiency and waste heat recovery.The project strongly anticipates opportunities for the European fuel cell suppliers to increase their uptake across multiple markets with improved energy efficiency and cost effectiveness.",2021-01-01,2023-12-31,36.0,SIGNED,2499715.5,3521477.5,['energy'],,"['urban', 'cities']",2
4335,HYDROPOWER-EUROPE,HYDROPOWER-EUROPE,826010,"The transformation of Europe’s energy system creates both challenges and opportunities for the hydropower sector. Hydropower needs to seek out value within the electricity market aligned with other sources of renewable and sustainable energy, whilst operating and building plants in environmentally sensitive and acceptable ways. The call H2020 LC-SC3-CC-4-2018: “Support to sectorial fora”, item 2: “bringing together stakeholders of the hydropower sector in a forum” provides a unique opportunity to bring together the hydropower community and to develop a Research and Innovation Agenda, and a Technology Roadmap mapping implementation of that agenda. These will support implementation of research and innovation for new hydropower technologies and innovative mitigation measures.The HYDROPOWER-EUROPE project delivers these objectives through an extensive programme of stakeholder consultation.  The consortium brings together six different associations and networks spanning the whole research and industry value chain.  These networks, along with representatives of civil society and European and national authorities, will form the initial stakeholder consultation base.  Through an extensive, cyclic programme of consultation – both online and through various regional, European and International workshops – research needs and priorities will be established supporting development of the Hydropower Research and Innovation Agenda.  The consultation process also facilitates discussion around issues and perceptions affecting the implementation of hydropower in Europe.  Conclusions from this will underpin development of the Technology Roadmap, addressing any issues affecting uptake of the research and innovation agenda.Finally, the HYDROPOWER-EUROPE project will also consider ways in which the forum, established through this initiative, may become sustainable beyond the 3-year project programme, so supporting uptake and implementation of the research and innovation agenda.",2018-11-01,2022-02-28,40.0,SIGNED,993570.2,993570.7,['energy'],,"['building', 'community']",2
4345,START2ACT,Engaging European Start-ups and Young SMEs for Action for Sustainable Energy,696069,"START2ACT aims to reduce residential energy consumption in the EU via changing the behaviour of consumers in their everyday lives by approaching them at their workplace. With a focus on European start-ups and young SMEs, the project aims at triggering action by young entrepreneurs and their emerging enterprises as well as by the owners and staff of young SMEs to introduce energy efficiency measures within their daily routines.Even though each start-up and SME consumes relatively small energy amounts, the collective environmental impact of 20 million SMEs in the EU is massive, contributing to 64% of environmental impact. Active engagement of start-ups and young SMEs is essential in order to reach the 20-20-20 EU goals and there is market potential for almost all enterprises to cost effectively reduce their energy consumption. START2ACT will unleash the potential of energy savings at European start-ups and young SMEs via a set of innovative educational and capacity building measures.A key area of intervention to increase energy efficiency through behavioural change is office equipment, the fastest growing energy user in the business world, consuming 15% of the total electricity used in offices, which is expected to rise to 30% by 2020. START2ACT aims to trigger the use and uptake of the many available tools and solutions offering a great potential for energy and money savings, yet not adequately used due to lack of understanding of how to use them in practice and due to insufficient engagement of people towards changing behaviour in everyday life. START2ACT aims also to trigger sustainable procurement of office equipment, including the selection and furnishings of premises (HVAC, lighting, etc.), and goods and services. In so doing, START2ACT will sow the seeds of a sustainable energy culture in start-ups and young SMEs.",2016-03-01,2019-08-31,42.0,CLOSED,1447543.75,1447543.75,['energy'],['energy'],"['energy consumption', 'building']",2
4351,BUILD UPON2,"Supporting public sector's capacity and leadership in decarbonising Europe's building stock, through the development of a multi-level renovation impact framework",840926,"BUILD UPON2 proposes to address one of the main barriers stopping proper public management, and consequent upscaling of Deep Energy Efficiency Renovation: the lack of an adequate, widely shared Impact Framework.Buildings are one of the biggest contributors to climate change in Europe and account for over 40% of the EU’s final energy demand and 36% of CO2 emissions. To meet EU’s energy efficiency targets for 2020 and 2030 and long-term goal under the revised EPBD to decarbonise it’s building stock by 2050, renovation becomes crucial, and its rate needs to increase to at least 2-3% per annum.National Renovation Strategies under the EED aimed to accelerate the rate of renovation, however these have not proved effective. The 2018 recast of the EPBD strengthens the role of these Strategies and obliges MS to set out a roadmap to decarbonised building stock by 2050, supported by a suite of measurable progress indicators and milestones.BUILD UPON2 proposes to work with local, national and European stakeholders to create a Multi-Level Renovation Impact Framework that contains a suite of milestones and measurable progress indicators for building renovation strategies, integrating data and insights from the city level. This Framework will serve as a tool for Cities in delivering the EPBD and ensure that local initiatives are aligned with national and European policies.A methodology will be developed to indicate how the Framework reporting system can be integrated into Sustainable Energy Actions Plans (SECAPs), how to use the Framework and how data to support the indicators will be collected and used. The Framework will be tested with 8 pilot cities and the results of this testing phase will be used to update the Framework and create policy recommendations, ensuring that the Framework can be replicated across Europe and help local, regional and national authorities deliver on European energy efficiency goals.The Project Consortium ascertains a successful delivery.",2019-06-01,2021-11-30,30.0,SIGNED,1731755.0,1819655.0,['energy'],,"['energy demand', 'cities', 'building', 'city', 'climate', 'buildings']",6
4353,EUROPA,ENERGY EFFICIENCY SUBSCRIPTION FOR DEEP RENOVATION WITH PERFORMANCE GUARANTEE,956649,"EUROPA project will develop an Energy Efficiency Subscription (a set of technical specifications, procedures and standard contractual arrangements) ensuring guaranteed energy savings from the deep renovation of residential buildings. This will be coupled with a technical assistance service, in the form of a one stop shop, enabling coordination and support in the end users investment journey. The Energy Efficiency Subscription will consider standards for products and for the level of expertise of craftsmen and professionals, it will define technical standard investment packages and the contractual specifications with the level of performance to be guaranteed. It will also consider the measurement and verification procedure of the performance after the renovation works. The set of standards and specifications will be based on a common format, tailored to the framework conditions of the involved regions and delivered via a web platform.The coordination and support action will include activities for the promotion of deep energy renovation in the residential building sector working on motivation for end users, engaging market operators as subscribers and by offering a technical assistance service in order to make sure that standards are met and investments intentions turns into reality. The project will save 10 GWh of primary energy and it will trigger 37 million Euro of concrete sustainable energy investments in the following regions: Piemonte (IT), Alto Alentejo (PT), Allgau (DE), Isère (FR) and Latvia, involving the renovation of more than 1000 dwellings. Besides, the project will ensure the replicability of the approach across Europe with a customized training activity offered to at least 20 organizations and other dissemination activities in order to widespread the project impact. A mutual learning activity will follow the project partners during the project implementation ensuring knowledge exchange and the strengthening of their technical and soft skills.",2020-10-01,2023-09-30,36.0,SIGNED,1916425.0,1916425.0,['energy'],['energy'],"['building', 'buildings']",2
4356,CoacHyfied,Coaches with hydrogen fuel cell powertrains for regional and long-distance passenger transport with energy optimized powertrains and cost optimized design – “CoacHyfied”,101006774,"In the past, fuel cell (FC) systems have been successfully developed for city buses. No activities towards the development of coaches are known in Europe so far. The target of this project is both to carry the experience from the development of FC city bus systems one step further into the more challenging constraints of typical coaches as well as to strengthen the European vehicle manufacturing base and supply chain of hydrogen components. The project presents two coach solutions to solve the challenges of longer driving distances of regional and long-distance coaches (400-800 km), the more stringent packaging constraints, less favourable driving patterns (lower recuperation) and higher auxiliary powers (air conditioning & heating) and demonstrates the coaches at two regions in 2 to 3-year demo phases.The project is based on a coherent structure and balanced partnership, addresses all call specific requirements and aims for  the highest benefits from a technological and market perspective:-both coach types being equally addressed by applying a common hybrid system concept and preparing for the development of FC drive system synergies,-comparing different and modular FC packaging concepts by the use of multiple and single FC units being tested in fulfilment of the 100 kW power requirement,-one set of coaches to develop an OEM-based new-built FC coach and another one an existing coach retrofit to also provide answers for the second life use of environmentally outdated coach chassis,-partnering with established FC manufacturers promising to reach the required 25,000 operating hours minimum, and validated in the project possibly with used stacks.-an experienced composite tank manufacturer to discuss the design option of potentially applying 350 bar and 700 bar technology for the coaches in fulfilment of targeting the required driving ranges at lowest costs and-experienced automotive system developers to search for operational minimum energy consumption patterns.",2021-01-01,2025-12-31,60.0,SIGNED,4999441.75,7329180.25,['energy'],['energy'],"['energy consumption', 'city']",2
4384,SELFIE,SELF-sustained and Smart Battery Thermal Management SolutIon for Battery Electric Vehicles,824290,"Strong efforts would be required to drastically reduce the fossil dependency and the CO2 emissions reductions in the transport sector, in line with the 2011 White paper on Transport – i.e. a 20% reduction in the CO2 emissions by 2030 (relative to 2008 levels) and a 60% reduction by 2050 (relative to 1990 levels). Electrification of the transport sector offers EU the opportunity to achieve these long term targets. The larger automotive industry have recognized the potential of electric vehicles (EVs) and there are large strides planned in building electric charging infrastructure – as announced by E.ON and Ionity about their investment plans for ultra-fast charging infrastructure. Right now, there’s no EV that can accept this charge rate, but several automakers are working on electric cars able to accept that kind of power. SELFIE makes its biggest impact here, ensuring that the EVs, in the not so distant future, are able to accept this high charge rate without reduction on battery lifetime, and to store the energy efficiently in their batteries with minimal losses.The overall objective is to develop and demonstrate a novel self-sustained compact battery system, consisting of: -A smart modular battery pack, which has excellent internal thermal conductivity properties, a refrigerant cooling system and thermal storage system (heat buffer) capable to absorb excess heat due to fast charging, and which is thoroughly insulated from the outside; -An advanced battery thermal management system capable to keep the battery temperature effectively within the optimal window and to prevent overheating (and battery degradation) due to fast charging. SELFIE will significantly increase user acceptance of EVs by enabling fast-charging; offering significant cost reductions and elimination of range anxiety compared to other propulsion technologies.",2018-12-01,2022-05-31,42.0,SIGNED,4999455.13,5842546.25,['energy'],,"['building', 'smart']",2
4413,CONCEPT,CONductive fast Charge system for Electric buses in Public Transport,731129,"Heliox, a company specialized in switch mode power technology, is developing a Conductive Fast Charge System for buses which will offer a cost-effective breakthrough technology for zero emission public transport AND competitive strength to the European Bus manufacturing industry. The objective of this business innovation propoject have been defined to reach the overall goal: to succesful launch the Conductive Fast Charge System for buses. Heliox' Conductive Fast Charge system is designed for opportunity charging at e.g. end of bus line, extending the range of an (H)EV. A minimal onboard energy storage, enough to reach the next charging station, becomes practically sufficient to optimally operate a vehicle with low TCO and high availability. Potential users are: public transport operators and European bus manufacturers. Based on rigourus studies and feasibility assessments, conducted under the SME Phase 1 project (number 650507), Heliox developed a solid business plan that incorporates a commercialization strategy and a financing plan to underpin the forseeen market launch and growth strategy of the system.The Company has already piloted its Product Generation 1 in a real environment and has established strong relationships with several Northern European city bus services and continues to initiate relationships with potential customers public transport operators and European bus manufacturers.Product readiness: The Product Generation 1 is between TRL 7 and TRL 8 with 8 units sold and 15 more in the pipeline to be sold for piloting purposes. Generation 2 is at TRL 6 and moving towards TRL 7. The Company is currently improving the product’s value and profit propositions based on its end-customers feedback (urban transport authorities and municipalities) and immediate customers such as bus manufacturers and energy providers.",2016-08-01,2018-07-31,24.0,SIGNED,1480708.25,2115297.5,['energy'],,"['city', 'urban']",2
